epoch,train_loss,validation_loss
1,0.011639807973470953,0.010409993007779122
2,0.01036692962464359,0.010783909671008587
3,0.01030333336442709,0.01071316558867693
4,0.01028019112845262,0.010283198431134224
5,0.010194166161947781,0.010150635093450546
6,0.010204862157503764,0.010302072651684284
7,0.01016483198851347,0.010196909308433533
8,0.010192077424791125,0.010237061530351638
9,0.010158741664555338,0.010206408128142356
10,0.010166891308294403,0.010214094072580338
11,0.010148828820221953,0.010146270208060741
12,0.010143269213537375,0.010128614716231823
13,0.010132834162149164,0.010126479491591454
14,0.010139091474314531,0.010142788738012314
15,0.010127908231483565,0.010200259424746037
16,0.01010586288654142,0.010148962289094924
17,0.010111577949590153,0.01013729553669691
18,0.010124186409844292,0.010185991115868091
19,0.01012406922876835,0.010247552171349525
20,0.010106760333809587,0.010154831372201443
21,0.010117204330033725,0.010163713768124581
22,0.010108756617539459,0.010041964799165725
23,0.010130701272024048,0.010151964537799358
24,0.010089816720121436,0.010141579993069172
25,0.010116295019785563,0.010213295258581638
26,0.010124470889568329,0.010181400999426842
27,0.010108230693472756,0.010157007202506065
28,0.01009705550968647,0.010158287063241005
29,0.010100104647378127,0.010149712190032006
30,0.010103982438643773,0.010092067047953606
31,0.010116171373261346,0.010194464549422265
32,0.010121478343175517,0.010058403387665749
33,0.0100927583169606,0.01011506088078022
34,0.010113978497684003,0.010119592249393463
35,0.010109691334267458,0.010164054296910762
36,0.01008330681671699,0.010370416641235352
37,0.010121069889929559,0.010256937444210053
38,0.010102435342139667,0.010261836051940918
39,0.01012882993867,0.010230583883821965
40,0.010087285662690798,0.010167738981544971
41,0.010092898011207581,0.010092526227235794
42,0.01011127081596189,0.010162171795964242
43,0.010001339134242799,0.010262347869575023
44,0.010099689579672284,0.010186135694384575
45,0.010054630980723433,0.010325992740690708
46,0.009997692008813222,0.010395372733473778
47,0.010120149701833725,0.010146309956908225
48,0.010047026363511881,0.009856196939945222
49,0.010116569180455472,0.010200935155153275
50,0.010105267237457964,0.010276994556188584
51,0.010068604441152679,0.010531185939908028
52,0.010092044886615541,0.009891956597566604
53,0.010091655900080999,0.010309318453073502
54,0.010119967369569672,0.010087528489530087
55,0.010094322193827894,0.010067813880741596
56,0.010087066168586413,0.010062032416462897
57,0.010080071876032486,0.010127526335418224
58,0.010126119686497582,0.010188218206167221
59,0.01008287271277772,0.010086077526211738
60,0.010093631417387061,0.010141845643520355
61,0.01007712190763818,0.010135824456810952
62,0.010031631932490402,0.009986563697457313
63,0.010103388080994287,0.010147032961249351
64,0.010075598375664817,0.010077630802989006
65,0.010046877745125029,0.01014810673892498
66,0.010082873942123519,0.010203998908400536
67,0.010007685948577191,0.010250256285071374
68,0.010095679404007064,0.010166804790496826
69,0.010084173290265931,0.010110243260860442
70,0.0100692669260833,0.010136032216250897
71,0.010072019406490856,0.010176316276192665
72,0.010084280487563876,0.01013401560485363
73,0.010038409969872899,0.010061186924576759
74,0.010075083631608221,0.010051668360829354
75,0.010080567705962393,0.010135758258402348
76,0.01007830282052358,0.01012368492782116
77,0.010083522653828064,0.010104917734861375
78,0.010075785285896725,0.010207999050617218
79,0.010087246352599727,0.010140542276203632
80,0.010074297111067507,0.010085890591144562
81,0.010040567136473126,0.009998400099575519
82,0.010048950620823437,0.01003910455852747
83,0.010014376064969435,0.010079392492771148
84,0.010105534626377954,0.010288078263401985
85,0.010094824019405577,0.010166785642504693
86,0.010070024236208864,0.010096957795321942
87,0.010073184470335643,0.010105950087308883
88,0.010074782433609169,0.010151260867714881
89,0.01009236988094118,0.010120633617043495
90,0.010080749860240353,0.010096001401543618
