time_index,dense_mean,dense_abs_mean,dense_min,dense_max,dense_positive_fraction,dense_negative_fraction,dense_positive_only_mean,dense_negative_only_mean,h_mean,h_abs_mean,h_min,h_max,h_positive_fraction,h_negative_fraction,h_retained_fraction,h_cancellation_fraction,h_wave_mean,h_wave_abs_mean,h_wave_min,h_wave_max,h_wave_positive_fraction,membrane_mean,membrane_abs_mean,membrane_min,membrane_max,membrane_positive_fraction,membrane_above_0p8_fraction,overall_spike_rate,per_image_total_spike_count,per_image_active_oscillator_count,zero_spike_image_count
0,0.14949220418930054,0.5199569463729858,-1.9520189762115479,1.1083269119262695,0.7509765625,0.2490234375,0.4457190930843353,-0.7438352704048157,0.07374401390552521,0.10054690390825272,-0.7008721828460693,0.9568895697593689,0.7509765625,0.2490234375,0.8261821269989014,0.17381787300109863,0.29497602581977844,0.3390998840332031,-0.695820152759552,1.5497013330459595,0.8671875,0.11129441857337952,0.13025903701782227,-0.5052637457847595,0.7062884569168091,0.8671875,0.0,0.01171875,"[4, 2, 3]","[4, 2, 3]",0
1,0.17329742014408112,0.6035282015800476,-3.4849727153778076,2.8748440742492676,0.7093098759651184,0.2906900942325592,0.5475925207138062,-0.7400162220001221,0.12076429277658463,0.16444085538387299,-1.1577343940734863,2.324681282043457,0.7350260615348816,0.2649739682674408,0.7846896052360535,0.21531039476394653,0.4830574095249176,0.5330743193626404,-1.1459804773330688,5.817007064819336,0.9036458134651184,0.20718848705291748,0.2373560070991516,-0.9705144762992859,4.9976277351379395,0.89453125,0.013020833022892475,0.046875,"[17, 8, 11]","[17, 8, 11]",0
2,0.23325352370738983,0.7314414381980896,-4.911071300506592,4.098556041717529,0.6822916865348816,0.3177083432674408,0.706951916217804,-0.7840333580970764,0.1661958247423172,0.23452867567539215,-1.9479846954345703,3.269885540008545,0.7021484375,0.2978515625,0.7614138126373291,0.2385861873626709,0.6647830605506897,0.7671326994895935,-1.9947822093963623,7.130165100097656,0.875,0.30591168999671936,0.3783210515975952,-1.8007103204727173,6.286584854125977,0.8815104365348816,0.0494791679084301,0.0651041641831398,"[22, 12, 16]","[22, 12, 16]",0
3,0.2593037188053131,0.8315934538841248,-4.8042168617248535,4.155082702636719,0.6552734375,0.3447265625,0.8323984146118164,-0.8300634622573853,0.18695451319217682,0.2864869236946106,-2.395798683166504,3.3931453227996826,0.6744791865348816,0.3255208432674408,0.738792896270752,0.26120710372924805,0.7478179931640625,0.9305267930030823,-3.5699777603149414,7.9317474365234375,0.8229166865348816,0.3571969270706177,0.49721312522888184,-3.3012337684631348,7.331455230712891,0.8515625,0.0716145858168602,0.09375,"[32, 18, 22]","[32, 18, 22]",0
4,0.30127546191215515,0.9656645655632019,-3.9156031608581543,4.494941234588623,0.6243489384651184,0.3756510317325592,1.0146088600158691,-0.8843168020248413,0.18932795524597168,0.34307727217674255,-2.7867002487182617,3.4493887424468994,0.654296875,0.345703125,0.7553646564483643,0.24463534355163574,0.7573121190071106,1.1110843420028687,-5.039325714111328,9.181829452514648,0.7578125,0.3565315008163452,0.6081339716911316,-4.775317192077637,8.54528522491455,0.78515625,0.0794270858168602,0.1393229216337204,"[42, 30, 35]","[42, 30, 35]",0
5,0.3729826509952545,1.1602153778076172,-5.21860408782959,6.195230484008789,0.6119791865348816,0.3880208432674408,1.2526553869247437,-1.014420986175537,0.2094774693250656,0.4308547079563141,-3.81966495513916,4.598877429962158,0.6360676884651184,0.3639322817325592,0.7371756434440613,0.2628243565559387,0.8379096984863281,1.3892498016357422,-6.696235656738281,10.624784469604492,0.7044270634651184,0.3487797677516937,0.7619368433952332,-6.404456615447998,9.951879501342773,0.7421875,0.0911458358168602,0.3190104067325592,"[90, 77, 78]","[92, 81, 83]",0
6,0.6556875705718994,1.575932502746582,-5.075887203216553,7.419209003448486,0.60546875,0.39453125,1.8428860902786255,-1.1662514209747314,0.2519199848175049,0.5624166131019592,-4.746622562408447,5.737189292907715,0.61328125,0.38671875,0.7576940655708313,0.2423059344291687,1.0076801776885986,1.8257352113723755,-7.425452709197998,11.788139343261719,0.6614583134651184,0.2953246235847473,0.8963932394981384,-7.270368576049805,11.158831596374512,0.71484375,0.0963541641831398,0.3776041567325592,"[105, 90, 95]","[114, 102, 106]",0
7,0.7487452626228333,1.7816022634506226,-5.273561954498291,9.563581466674805,0.6207682490348816,0.3792317807674408,2.0380778312683105,-1.3617744445800781,0.3007183372974396,0.6984923481941223,-4.662436008453369,7.2977094650268555,0.6168619990348816,0.3831380307674408,0.7648818492889404,0.23511815071105957,1.2028733491897583,2.264343738555908,-9.152324676513672,12.499677658081055,0.6549479365348816,0.2782782018184662,1.0664583444595337,-8.278562545776367,11.760297775268555,0.6966145634651184,0.1067708358168602,0.4244791567325592,"[112, 105, 109]","[115, 111, 114]",0
