epoch,total_loss,actual_spike_rate,spike_nonzero_count,spike_element_count,raw_spike_rate,weighted_spike_rate,raw_spike_smooth,weighted_spike_smooth,raw_spike_diversity,weighted_spike_diversity,raw_structural,weighted_structural,raw_sample_diversity,weighted_sample_diversity,raw_temporal_balance,weighted_temporal_balance,raw_spatial_compactness,weighted_spatial_compactness,raw_edge_membrane,weighted_edge_membrane,raw_dense_magnitude_loss,weighted_dense_magnitude_loss,raw_dendritic_cancellation_loss,weighted_dendritic_cancellation_loss
1,0.08662736004590989,0.0,0,2048000,0.06116948089003563,0.012233896178007126,0.00014983363996725528,0.0,0.9966236352920532,0.0,0.9165377244949341,0.027496131734848023,0.9999063019752502,0.03999625207901001,0.000513355121947825,0.0,0.07894989687204361,0.0,0.6899885249137878,0.006899885249137878,0.0,0.0,2.3924156457056254e-05,1.1962078228528128e-06
2,0.08655278414487838,0.0,0,2048000,0.061192356169223784,0.012238471233844757,0.0001916132611222565,0.0,0.9948076987266541,0.0,0.9148185529708862,0.027444556589126586,0.9998606333732605,0.03999442533493042,0.0006114492639899254,0.0,0.09441727137565613,0.0,0.6874149060249328,0.0068741490602493285,0.0,0.0,2.3655381897697225e-05,1.1827690948848613e-06
3,0.08638586008548736,0.0,0,2048000,0.0612916316986084,0.012258326339721681,0.0003025754857808352,0.0,0.9891571598052978,0.0,0.9094715375900269,0.027284146127700803,0.9998154973983765,0.03999261989593506,0.0009015106018632651,0.0,0.12388905429840089,0.0,0.6850164241790772,0.006850164241790772,0.0,0.0,1.2111103027564241e-05,6.055551513782121e-07
4,0.08596029543876647,0.0,0,2048000,0.06139401337504387,0.012278802675008775,0.0004978604693897068,0.0,0.9741182427406311,0.0,0.8952541575431824,0.026857624726295472,0.9997906975746155,0.03999162790298462,0.0013636431228369475,0.0,0.16609577798843383,0.0,0.6832206258773804,0.006832206258773804,0.0,0.0,7.081555080326041e-07,3.540777540163021e-08
5,0.08502331030368805,0.0,0,2048000,0.061496133089065555,0.012299226617813111,0.0007775612203404308,0.0,0.9404355955123901,0.0,0.8634887208938599,0.025904661626815796,0.9998263721466064,0.03999305488586426,0.0019351585842669011,0.0,0.21720893204212188,0.0,0.6826368112564087,0.006826368112564088,0.0,0.0,0.0,0.0
6,0.08361780190467835,0.0,0,2048000,0.06154224705696106,0.012308449411392213,0.00104489906411618,0.0,0.8911281023025512,0.0,0.8171838541030884,0.02451551562309265,0.9998824319839478,0.03999529727935791,0.00226719805970788,0.0,0.2647861168384552,0.0,0.6798540992736817,0.006798540992736817,0.0,0.0,0.0,0.0
7,0.08212542194128036,0.0,0,2048000,0.061528533190488816,0.012305706638097763,0.0012237178096547723,0.0,0.8417117834091187,0.0,0.7710342102050781,0.023131026306152342,0.9999229922294617,0.03999691968917847,0.002219618696719408,0.0,0.2999862279891968,0.0,0.669177071094513,0.00669177071094513,0.0,0.0,0.0,0.0
8,0.08069366383552551,0.0,0,2048000,0.06145867216587066,0.012291734433174134,0.0013116397503763438,0.0,0.8017081031799317,0.0,0.7339048519134521,0.022017145557403563,0.9999452428817749,0.039997809715271,0.001911820932291448,0.0,0.3222532739639282,0.0,0.6382083120346069,0.006382083120346069,0.0,0.0,9.782808144809962e-05,4.8914040724049815e-06
9,0.07951632171869277,0.0,0,2048000,0.06137641003727913,0.012275282007455826,0.0013533995999023317,0.0,0.7716567449569702,0.0,0.7061772451400757,0.02118531735420227,0.9999583358764649,0.0399983334350586,0.001587274200282991,0.0,0.3366741285324097,0.0,0.6031866936683655,0.006031866936683655,0.0,0.0,0.0005104719125665724,2.552359562832862e-05
10,0.07869310730695725,0.0,0,2048000,0.061325536400079726,0.012265107280015945,0.0013682551132515072,0.0,0.7494321427345276,0.0,0.6857879457473754,0.020573638372421262,0.9999668188095093,0.03999867275238037,0.0013500047847628594,0.0,0.3481309857368469,0.0,0.5823968234062195,0.005823968234062195,0.0,0.0,0.0006344627989456058,3.172313994728029e-05
