epoch,loss,raw_loss,weight,weighted_loss,raw_gradient_norm,weighted_gradient_norm,cosine_with_dense_gradient,actual_spike_rate,dense_abs_mean
1,spike_rate,0.06117244437336922,0.2,0.012234489433467388,3.380205816938542e-05,6.760411451978143e-06,,0.0,0.2781105041503906
1,spike_smooth,0.00016495690215379,0.0,0.0,5.1431620704534e-06,0.0,,0.0,0.2781105041503906
1,spike_diversity,0.9959725737571716,0.0,0.0,8.385091496165842e-05,0.0,,0.0,0.2781105041503906
1,structural,0.915699303150177,0.03,0.02747097797691822,7.869497494539246e-05,2.3608486117154825e-06,,0.0,0.2781105041503906
1,sample_diversity,0.9998895525932312,0.04,0.03999558091163635,0.0004397659795358777,1.759065162332263e-05,,0.0,0.2781105041503906
1,temporal_balance,0.0005459459498524666,0.0,0.0,1.8150292817153968e-05,0.0,,0.0,0.2781105041503906
1,spatial_compactness,0.08538113534450531,0.0,0.0,0.0022767027840018272,0.0,,0.0,0.2781105041503906
1,edge_membrane,0.688334047794342,0.01,0.006883340422064066,0.0019260725239291787,1.9260742192273028e-05,,0.0,0.2781105041503906
1,dense_magnitude_loss,0.0,0.5,0.0,0.0,0.0,,0.0,0.2781105041503906
1,dendritic_cancellation_loss,2.509337900846731e-05,0.05,1.254668973160733e-06,0.0001109051881940104,5.54525922780158e-06,,0.0,0.2781105041503906
1,total,0.0865856409072876,1.0,0.0865856409072876,1.6930915080592968e-05,1.6930915080592968e-05,,0.0,0.2781105041503906
5,spike_rate,0.06153164431452751,0.2,0.012306328862905502,3.328837192384526e-05,6.6576740209711716e-06,,0.0,0.6461987495422363
5,spike_smooth,0.0009260504739359021,0.0,0.0,5.259955651126802e-05,0.0,,0.0,0.6461987495422363
5,spike_diversity,0.9164814949035645,0.0,0.0,0.015281022526323795,0.0,,0.0,0.6461987495422363
5,structural,0.8407340049743652,0.03,0.025222020223736763,0.014360235072672367,0.0004308070638217032,,0.0,0.6461987495422363
5,sample_diversity,0.9998639822006226,0.04,0.039994560182094574,9.908475476549938e-05,3.963422386732418e-06,,0.0,0.6461987495422363
5,temporal_balance,0.002171700820326805,0.0,0.0,6.028248753864318e-05,0.0,,0.0,0.6461987495422363
5,spatial_compactness,0.2432529479265213,0.0,0.0,0.006141442805528641,0.0,,0.0,0.6461987495422363
5,edge_membrane,0.6816216111183167,0.01,0.006816215813159943,0.0031835720874369144,3.183571607223712e-05,,0.0,0.6461987495422363
5,dense_magnitude_loss,0.0,0.5,0.0,0.0,0.0,,0.0,0.6461987495422363
5,dendritic_cancellation_loss,0.0,0.05,0.0,0.0,0.0,,0.0,0.6461987495422363
5,total,0.08433912694454193,1.0,0.08433912694454193,0.00046054404811002314,0.00046054404811002314,,0.0,0.6461987495422363
10,spike_rate,0.06130062788724899,0.2,0.012260125949978828,9.701241651782766e-05,1.940247784659732e-05,,0.0,0.9943177700042725
10,spike_smooth,0.0013663519639521837,0.0,0.0,3.282107354607433e-05,0.0,,0.0,0.9943177700042725
10,spike_diversity,0.7402682304382324,0.0,0.0,0.014749633148312569,0.0,,0.0,0.9943177700042725
10,structural,0.6772197484970093,0.03,0.0203165914863348,0.013436242006719112,0.00040308714960701764,,0.0,0.9943177700042725
10,sample_diversity,0.9999734163284302,0.04,0.03999893739819527,1.0249853403365705e-05,4.099827037862269e-07,,0.0,0.9943177700042725
10,temporal_balance,0.0012441020226106048,0.0,0.0,0.0002131542714778334,0.0,,0.0,0.9943177700042725
10,spatial_compactness,0.3531312346458435,0.0,0.0,0.0019184565171599388,0.0,,0.0,0.9943177700042725
10,edge_membrane,0.5845496654510498,0.01,0.00584549643099308,0.018537232652306557,0.000185372366104275,,0.0,0.9943177700042725
10,dense_magnitude_loss,0.0,0.5,0.0,0.0,0.0,,0.0,0.9943177700042725
10,dendritic_cancellation_loss,0.0008565257885493338,0.05,4.282629015506245e-05,0.00456172414124012,0.00022808620997238904,,0.0,0.9943177700042725
10,total,0.07846397906541824,1.0,0.07846397906541824,0.0004342914035078138,0.0004342914035078138,,0.0,0.9943177700042725
