time_index,dense_mean,dense_abs_mean,dense_min,dense_max,dense_positive_fraction,dense_negative_fraction,dense_positive_only_mean,dense_negative_only_mean,h_mean,h_abs_mean,h_min,h_max,h_positive_fraction,h_negative_fraction,h_retained_fraction,h_cancellation_fraction,h_wave_mean,h_wave_abs_mean,h_wave_min,h_wave_max,h_wave_positive_fraction,membrane_mean,membrane_abs_mean,membrane_min,membrane_max,membrane_positive_fraction,membrane_above_0p8_fraction,overall_spike_rate,per_image_total_spike_count,per_image_active_oscillator_count,zero_spike_image_count
0,-2.4229190349578857,2.4229183197021484,-6.5515546798706055,-0.36591339111328125,0.0,1.0,,-2.4229183197021484,-0.9449767470359802,0.9449763894081116,-5.091033935546875,-0.0011051346082240343,0.0,1.0,1.0,0.0,-3.779905319213867,3.7799055576324463,-16.989154815673828,-0.012234208174049854,0.0,-2.51789927482605,2.51789927482605,-11.674696922302246,-1.6423571651102975e-05,0.0,0.0,0.0,0;0;0,0;0;0,3
1,-2.875096321105957,2.907377004623413,-10.665072441101074,0.7189037799835205,0.1044921875,0.8955078125,0.1544693559408188,-3.228599786758423,-1.622766137123108,1.6229877471923828,-8.939746856689453,0.14200818538665771,0.00390625,0.99609375,0.9968769550323486,0.0031230354215949774,-6.491064548492432,6.491405487060547,-31.517717361450195,0.07117308676242828,0.0052083334885537624,-5.027822494506836,5.027822494506836,-24.115421295166016,-2.9846220058971085e-05,0.0,0.0,0.0,0;0;0,0;0;0,3
2,-3.321122169494629,3.4682772159576416,-13.185726165771484,1.1022815704345703,0.2151692658662796,0.7848307490348816,0.34195196628570557,-4.325390815734863,-2.1669578552246094,2.171245813369751,-11.805032730102539,0.9016321301460266,0.0361328125,0.9638671875,0.9938461184501648,0.0061539169400930405,-8.667834281921387,8.683656692504883,-42.227603912353516,1.1067509651184082,0.03125,-7.273864269256592,7.281652927398682,-34.95621109008789,1.0343940258026123,0.009114583022892475,0.0013020833721384406,0.0052083334885537624,1;1;2,1;1;2,0
3,-4.228332996368408,4.337436199188232,-16.078428268432617,2.311414957046509,0.2164713591337204,0.7835286259651184,0.2520013451576233,-5.466150283813477,-2.824300527572632,2.8416101932525635,-15.373743057250977,2.1335649490356445,0.0602213554084301,0.9397786259651184,0.9802567958831787,0.01974324882030487,-11.297199249267578,11.362415313720703,-53.966529846191406,2.9940693378448486,0.0546875,-9.760722160339355,9.805035591125488,-47.75393295288086,2.9530463218688965,0.02473958395421505,0.01171875,0.013020833022892475,3;4;3,3;4;3,0
4,-4.6046929359436035,4.750797748565674,-16.970109939575195,3.1815121173858643,0.1845703125,0.8154296875,0.3957952857017517,-5.7365403175354,-3.1932449340820312,3.2476940155029297,-15.9655179977417,3.087151050567627,0.0751953125,0.9248046875,0.9735665321350098,0.02643349952995777,-12.772980690002441,12.978751182556152,-56.86799621582031,6.127235412597656,0.09375,-11.401775360107422,11.568621635437012,-55.265499114990234,6.062522888183594,0.0455729179084301,0.02994791604578495,0.0364583320915699,11;11;6,11;11;6,0
5,-4.268136978149414,4.463974475860596,-17.40370750427246,3.925189733505249,0.1988932341337204,0.8011067509651184,0.4923211634159088,-5.450028896331787,-3.0888795852661133,3.1916167736053467,-15.330623626708984,3.8731119632720947,0.0859375,0.9140625,0.9788772463798523,0.021122708916664124,-12.355514526367188,12.756630897521973,-56.035743713378906,8.488710403442383,0.1080729141831398,-11.447611808776855,11.789017677307129,-53.511573791503906,8.15772819519043,0.046875,0.0390625,0.0390625,11;12;7,11;12;7,0
6,-3.558046579360962,3.7286901473999023,-17.885478973388672,3.7819855213165283,0.2044270783662796,0.7955729365348816,0.41736462712287903,-4.579554557800293,-2.6144278049468994,2.7146456241607666,-16.993396759033203,3.7641255855560303,0.0823567733168602,0.9176432490348816,0.9701974391937256,0.029802484437823296,-10.45771598815918,10.838175773620605,-60.487213134765625,8.036223411560059,0.0924479141831398,-9.99521255493164,10.333312034606934,-58.33943557739258,7.715159893035889,0.0546875,0.0403645820915699,0.0442708320915699,12;14;8,14;15;9,0
7,-2.964326858520508,3.262352705001831,-18.025938034057617,4.348627090454102,0.2568359375,0.7431640625,0.5801841020584106,-4.189305305480957,-2.128086566925049,2.224618673324585,-17.36682891845703,4.317557334899902,0.0895182266831398,0.9104817509651184,0.9382367134094238,0.06176318600773811,-8.512345314025879,8.839537620544434,-62.5670051574707,9.673961639404297,0.05078125,-8.17308521270752,8.481870651245117,-60.58831787109375,9.316816329956055,0.0559895820915699,0.03515625,0.0416666679084301,12;9;11,16;16;14,0
