epoch,loss,raw_loss,weight,weighted_loss,raw_gradient_norm,weighted_gradient_norm,cosine_with_dense_gradient,actual_spike_rate,dense_abs_mean
1,spike_rate,0.061254453,0.2,0.012250891,4.75E-05,9.50E-06,-0.248263538,0,0.354954362
1,spike_smooth,0.000179561,0,0,1.64E-05,0,,0,0.354954362
1,spike_diversity,0.996036172,0,0,0.000471909,0,,0,0.354954362
1,structural,0.915759325,0.03,0.027472779,0.000445809,1.34E-05,0.677348077,0,0.354954362
1,sample_diversity,0.999986827,0.04,0.039999474,0.000113102,4.52E-06,0.436832488,0,0.354954362
1,temporal_balance,0.000650872,0,0,6.29E-05,0,,0,0.354954362
1,spatial_compactness,0.079741865,0,0,0.003733199,0,,0,0.354954362
1,edge_membrane,0.690276623,0.01,0.006902766,0.003089913,3.09E-05,0.343168348,0,0.354954362
1,dense_magnitude_loss,13.28635883,0.5,6.643179417,0.092927903,0.046463951,1,0,0.354954362
1,dendritic_cancellation_loss,0.002799333,0.05,0.000139967,0.001641285,8.21E-05,-0.28057465,0,0.354954362
1,total,6.72994566,1,6.72994566,0.046460234,0.046460234,0.999999404,0,0.354954362
5,spike_rate,0.061131459,0.2,0.012226292,0.000274494,5.49E-05,0.17376177,0,0.777568698
5,spike_smooth,0.000422258,0,0,9.81E-05,0,,0,0.777568698
5,spike_diversity,0.978154063,0,0,0.005805754,0,,0,0.777568698
5,structural,0.898905993,0.03,0.026967179,0.005466062,0.000163982,0.762768626,0,0.777568698
5,sample_diversity,0.999995589,0.04,0.039999824,1.58E-05,6.34E-07,0.249144748,0,0.777568698
5,temporal_balance,0.00125465,0,0,0.000372293,0,,0,0.777568698
5,spatial_compactness,0.130753517,0,0,0.01037514,0,,0,0.777568698
5,edge_membrane,0.677528441,0.01,0.006775284,0.002862998,2.86E-05,-0.149610803,0,0.777568698
5,dense_magnitude_loss,10.38406277,0.5,5.192031384,0.506825387,0.253412694,1,0,0.777568698
5,dendritic_cancellation_loss,0.007104469,0.05,0.000355223,0.007300669,0.000365034,-0.18366468,0,0.777568698
5,total,5.278355122,1,5.278355122,0.253476501,0.253476501,0.999998868,0,0.777568698
10,spike_rate,0.05643557,0.2,0.011287115,0.001637156,0.000327431,0.264799118,0.009277344,1.608337879
10,spike_smooth,0.000641549,0,0,7.41E-05,0,,0.009277344,1.608337879
10,spike_diversity,0.887254596,0,0,0.01078131,0,,0.009277344,1.608337879
10,structural,0.814057469,0.03,0.024421724,0.009949598,0.000298488,0.880296707,0.009277344,1.608337879
10,sample_diversity,0.99999994,0.04,0.039999995,9.03E-08,3.61E-09,0.249969542,0.009277344,1.608337879
10,temporal_balance,0.000623661,0,0,0.000286947,0,,0.009277344,1.608337879
10,spatial_compactness,0.205394551,0,0,0.007758746,0,,0.009277344,1.608337879
10,edge_membrane,0.599063993,0.01,0.00599064,0.07529413,0.000752941,0.125685424,0.009277344,1.608337879
10,dense_magnitude_loss,5.720047474,0.5,2.860023737,0.768593073,0.384296536,1.000000119,0.009277344,1.608337879
10,dendritic_cancellation_loss,0.064564876,0.05,0.003228244,0.028168723,0.001408435,-0.131554201,0.009277344,1.608337879
10,total,2.944951296,1,2.944951296,0.384555787,0.384555787,0.999999046,0.009277344,1.608337879
20,spike_rate,0.002385175,0.2,0.000477035,0.003731584,0.000746317,-0.401210278,0.292327881,3.435911179
20,spike_smooth,0.001137797,0,0,0.000336782,0,,0.292327881,3.435911179
20,spike_diversity,0.807255328,0,0,0.003777883,0,,0.292327881,3.435911179
20,structural,0.741748452,0.03,0.022252453,0.003377865,0.000101336,0.74937284,0.292327881,3.435911179
20,sample_diversity,0.999986708,0.04,0.039999466,7.94E-06,3.18E-07,-0.20382452,0.292327881,3.435911179
20,temporal_balance,0.000850236,0,0,0.000648791,0,,0.292327881,3.435911179
20,spatial_compactness,0.484562665,0,0,0.049314238,0,,0.292327881,3.435911179
20,edge_membrane,0.232495606,0.01,0.002324956,0.053689696,0.000536897,-0.143965885,0.292327881,3.435911179
20,dense_magnitude_loss,0.318196207,0.5,0.159098104,0.291661859,0.145830929,0.99999994,0.292327881,3.435911179
20,dendritic_cancellation_loss,0.023085415,0.05,0.001154271,0.001769431,8.85E-05,0.036096267,0.292327881,3.435911179
20,total,0.225306287,1,0.225306287,0.145538449,0.145538449,0.999963999,0.292327881,3.435911179
30,spike_rate,0.010900326,0.2,0.002180065,0.005524783,0.001104957,-0.374548316,0.344238281,3.933569193
30,spike_smooth,0.001456941,0,0,0.000392593,0,,0.344238281,3.933569193
30,spike_diversity,0.80034107,0,0,0.002723654,0,,0.344238281,3.933569193
30,structural,0.735712647,0.03,0.022071378,0.002423264,7.27E-05,0.690043807,0.344238281,3.933569193
30,sample_diversity,0.999982893,0.04,0.039999314,5.72E-06,2.29E-07,-0.246018603,0.344238281,3.933569193
30,temporal_balance,0.001617906,0,0,0.000747542,0,,0.344238281,3.933569193
30,spatial_compactness,0.556783795,0,0,0.043644827,0,,0.344238281,3.933569193
30,edge_membrane,0.219491079,0.01,0.002194911,0.031946391,0.000319464,-0.143171564,0.344238281,3.933569193
30,dense_magnitude_loss,0.004413052,0.5,0.002206526,0.036175262,0.018087631,0.99999994,0.344238281,3.933569193
30,dendritic_cancellation_loss,0.012127014,0.05,0.000606351,0.002249223,0.000112461,0.133088768,0.344238281,3.933569193
30,total,0.069258548,1,0.069258548,0.017734969,0.017734969,0.997639894,0.344238281,3.933569193
50,spike_rate,0.006198777,0.2,0.001239755,0.002125651,0.00042513,-0.36930269,0.31539917,3.995054245
50,spike_smooth,0.001325986,0,0,0.000376612,0,,0.31539917,3.995054245
50,spike_diversity,0.798364401,0,0,0.002590651,0,,0.31539917,3.995054245
50,structural,0.733969688,0.03,0.02201909,0.002317863,6.95E-05,0.660661459,0.31539917,3.995054245
50,sample_diversity,0.999994814,0.04,0.03999979,3.55E-06,1.42E-07,-0.119707257,0.31539917,3.995054245
50,temporal_balance,0.001563572,0,0,0.000679457,0,,0.31539917,3.995054245
50,spatial_compactness,0.552507222,0,0,0.041254528,0,,0.31539917,3.995054245
50,edge_membrane,0.21470724,0.01,0.002147072,0.005844782,5.84E-05,-0.190513358,0.31539917,3.995054245
50,dense_magnitude_loss,2.45E-05,0.5,1.22E-05,0.002682595,0.001341297,1,0.31539917,3.995054245
50,dendritic_cancellation_loss,0.014376349,0.05,0.000718817,0.002995028,0.000149751,0.123732328,0.31539917,3.995054245
50,total,0.066136755,1,0.066136755,0.0012733,0.0012733,0.971972346,0.31539917,3.995054245
75,spike_rate,0.00190513,0.2,0.000381026,0.001637988,0.000327597,-0.381142467,0.281860352,3.99678421
75,spike_smooth,0.001122932,0,0,0.000322906,0,,0.281860352,3.99678421
75,spike_diversity,0.793800592,0,0,0.002734686,0,,0.281860352,3.99678421
75,structural,0.729775727,0.03,0.021893272,0.002451509,7.35E-05,0.70916909,0.281860352,3.99678421
75,sample_diversity,0.999981105,0.04,0.039999243,7.02E-06,2.81E-07,-0.219957083,0.281860352,3.99678421
