epoch,loss,raw_loss,weight,weighted_loss,raw_gradient_norm,weighted_gradient_norm,cosine_with_dense_gradient
1,spike_rate,0.058496858924627304,0.2,0.011699371971189976,0.00018159793398808688,3.631957952165976e-05,
1,spike_smooth,1.661615533521399e-05,0.0,0.0,9.532943749945844e-07,0.0,
1,spike_diversity,0.9993754029273987,0.0,0.0,3.015425318153575e-05,0.0,
1,structural,0.9189194440841675,0.03,0.027567582204937935,2.8610360459424555e-05,8.583112389715097e-07,
1,sample_diversity,0.9999446272850037,0.2,0.1999889314174652,0.00034979142947122455,6.995832518441603e-05,
1,temporal_balance,4.464740413823165e-06,0.0,0.0,7.086300115588529e-07,0.0,
1,spatial_compactness,0.04195008426904678,0.0,0.0,0.0013023243518546224,0.0,
1,edge_membrane,0.26150110363960266,0.05,0.013075055554509163,0.01942429691553116,0.0009712139726616442,
1,dense_magnitude_loss,0.0,0.5,0.0,0.0,0.0,
1,dendritic_cancellation_loss,0.0771680697798729,0.05,0.0038584035355597734,0.0033490064088255167,0.0001674503437243402,
1,total,0.25618937611579895,1.0,0.25618937611579895,0.0011124589946120977,0.0011124589946120977,
5,spike_rate,0.05415532737970352,0.2,0.010831065475940704,0.004259685054421425,0.0008519373368471861,
5,spike_smooth,4.528406134340912e-05,0.0,0.0,1.8047156117972918e-05,0.0,
5,spike_diversity,0.9987979531288147,0.0,0.0,0.0006084082997404039,0.0,
5,structural,0.918372631072998,0.03,0.027551177889108658,0.0005768559058196843,1.730567601043731e-05,
5,sample_diversity,0.9994198083877563,0.2,0.19988396763801575,0.0006009659846313298,0.00012019329733448103,
5,temporal_balance,7.434749704771093e-08,0.0,0.0,3.865001190206385e-07,0.0,
5,spatial_compactness,0.058355048298835754,0.0,0.0,0.008050871081650257,0.0,
5,edge_membrane,0.13907232880592346,0.05,0.006953616626560688,0.006027559284120798,0.00030137773137539625,
5,dense_magnitude_loss,0.0,0.5,0.0,0.0,0.0,
5,dendritic_cancellation_loss,0.05033659562468529,0.05,0.002516829874366522,0.006018139887601137,0.00030090706422924995,
5,total,0.24773666262626648,1.0,0.24773666262626648,0.0012485580518841743,0.0012485580518841743,
10,spike_rate,0.027312172576785088,0.2,0.005462434608489275,0.011101559735834599,0.00222031120210886,
10,spike_smooth,0.00023198817507363856,0.0,0.0,8.413900650339201e-05,0.0,
10,spike_diversity,0.9962987899780273,0.0,0.0,0.002560667460784316,0.0,
10,structural,0.916003942489624,0.03,0.027480117976665497,0.002425521146506071,7.276562973856926e-05,
10,sample_diversity,0.9987274408340454,0.2,0.19974549114704132,0.001545042498037219,0.0003090091631747782,
10,temporal_balance,4.292708763387054e-05,0.0,0.0,6.458194548031315e-05,0.0,
10,spatial_compactness,0.11556398868560791,0.0,0.0,0.029964381828904152,0.0,
10,edge_membrane,0.08464780449867249,0.05,0.004232390318065882,0.015817593783140182,0.0007908796542324126,
10,dense_magnitude_loss,0.0,0.5,0.0,0.0,0.0,
10,dendritic_cancellation_loss,0.037821367383003235,0.05,0.0018910684157162905,0.00293383258394897,0.00014669160009361804,
10,total,0.23881149291992188,1.0,0.23881149291992188,0.002046974143013358,0.002046974143013358,
20,spike_rate,0.002670230809599161,0.2,0.0005340461502783,0.003442006651312113,0.0006884012836962938,
20,spike_smooth,0.0009180515771731734,0.0,0.0,0.00022429738601204008,0.0,
